 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  21. 5.2021    Time:  17:50:46
 Units: L = m    , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
    12135  0.3390000E+03  0.13034E+00    4    58450    -4     1     T
    12142  0.3400000E+03  0.14286E+00    5    58485    -4     1     T
    12165  0.3410000E+03  0.13034E+00    5    58544    -4     1     T
    12233  0.3420000E+03  0.30333E-01    4    58809    -4     1     T
    12270  0.3430000E+03  0.99622E-01    6    58933    -4     1     T
    12282  0.3440000E+03  0.91729E-01    3    58979    -4     1     T
    12333  0.3450000E+03  0.48847E-01    4    59163    -4     1     T
    12361  0.3460000E+03  0.95286E-01    5    59249    -4     1     T
    12385  0.3470000E+03  0.10427E+00    4    59311    -4     1     T
    12425  0.3480000E+03  0.65132E-01    4    59450    -4     1     T
    12438  0.3490000E+03  0.11443E+00    4    59503    -4     1     T
    12448  0.3500000E+03  0.10000E+00    4    59543    -4     1     T
    12471  0.3510000E+03  0.13034E+00    5    59602    -4     1     T
    12478  0.3520000E+03  0.14286E+00    5    59637    -4     1     T
    12502  0.3530000E+03  0.16002E+00    4    59701    -4     1     T
    12525  0.3540000E+03  0.14300E+00    3    59756    -4     1     T
    12547  0.3550000E+03  0.19550E+00    4    59807    -4     1     T
    12569  0.3560000E+03  0.19550E+00    3    59853    -4     1     T
    12591  0.3570000E+03  0.19550E+00    3    59899    -4     1     T
    12625  0.3580000E+03  0.71259E-01    3    60010    -4     1     T
    12649  0.3590000E+03  0.11172E+00    4    60075    -4     1     T
    12671  0.3600000E+03  0.19550E+00    5    60129    -4     1     T
    12693  0.3610000E+03  0.19550E+00    4    60178    -4     1     T
    12698  0.3620000E+03  0.20000E+00    3    60197    -4     1     T
    12720  0.3630000E+03  0.19550E+00    3    60244    -4     1     T
    12742  0.3640000E+03  0.19550E+00    2    60288    -4     1     T
    12746  0.3650000E+03  0.25000E+00    2    60298    -4     1     T
    12772  0.3660000E+03  0.10860E+00    4    60376    -4     1     T
    12794  0.3670000E+03  0.19550E+00    4    60426    -4     1     T
    12816  0.3680000E+03  0.19550E+00    3    60472    -4     1     T
    12838  0.3690000E+03  0.19550E+00    2    60516    -4     1     T
