 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                    
 Date:   9.10.    Time:  14: 8:15
 Units: L = m    , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  153      0.91     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  154      0.92     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  155      0.92     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  156      0.93     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  157      0.94     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  158      0.94     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  159      0.95     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  160      0.95     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  161      0.96     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  162      0.97     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  163      0.97     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  164      0.98     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  165      0.98     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  166      0.99     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  167      1.00     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  168      1.00     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  169      1.01     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  170      1.01     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  171      1.02     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  172      1.03     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  173      1.03     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  174      1.04     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  175      1.04     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  176      1.05     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  177      1.06     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  178      1.06     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  179      1.07     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  180      1.07     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  181      1.08     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  182      1.09     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  183      1.09     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  184      1.10     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  185      1.10     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  186      1.11     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  187      1.12     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  188      1.12     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  189      1.13     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  190      1.13     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  191      1.14     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  192      1.15     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  193      1.15     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  194      1.16     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  195      1.16     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  196      1.17     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  197      1.18     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  198      1.18     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  199      1.19     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  200      1.19     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  201      1.20     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  202      1.21     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  203      1.21     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  204      1.22     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
